county,pop_2016,pop_2021,pop_change,pop_change_pct
Hays,185686,234573,48887,26.32777915405577
Comal,124234,156257,32023,25.77635751887567
Kaufman,111830,140145,28315,25.319681659661985
Bastrop,78286,94887,16601,21.205579541680507
Williamson,490619,591759,101140,20.614774397241035
Rockwall,88010,105227,17217,19.562549710260196
Chambers,38072,45257,7185,18.872137003572178
Waller,47049,55505,8456,17.972751811940743
Fort Bend,683756,806497,122741,17.950994214310366
Ellis,160225,187984,27759,17.32501170229365
